   dates/labels,                posterior mean,        posterior 5\% quantile,       posterior 95\% quantile
        2013May,        1.1349915416326963e+00,        7.3745952367374912e-01,        1.5215979105903870e+00
        2013Jun,        1.0943099916579349e+00,        6.8029308563763635e-01,        1.4799623410721381e+00
        2013Jul,        1.0454005843914835e+00,        6.4641676432816730e-01,        1.4292231949320637e+00
        2013Aug,        1.0388044630007518e+00,        6.3285483378472307e-01,        1.4292868857901784e+00
        2013Sep,        1.0453863055935739e+00,        6.3707797047682391e-01,        1.4326557181515511e+00
        2013Oct,        1.0313577828181362e+00,        6.2656426258245013e-01,        1.4230384182662732e+00
        2013Nov,        1.1065089803714963e+00,        6.9993162819497812e-01,        1.5097362282002154e+00
        2013Dec,        1.1511780776891232e+00,        7.5019296527499790e-01,        1.5633086493421047e+00
        2014Jan,        1.1903044382485857e+00,        7.7664682329050549e-01,        1.5942448023247273e+00
        2014Feb,        1.1374544092669614e+00,        7.2906044925158398e-01,        1.5524697739851661e+00
        2014Mar,        1.0336667669870894e+00,        6.1601612629289448e-01,        1.4432396510790397e+00
        2014Apr,        9.6953324277438035e-01,        5.5857126842380467e-01,        1.3809071290405655e+00
        2014May,        9.1996850035040001e-01,        4.8932680554071339e-01,        1.3388637417130269e+00
        2014Jun,        9.5770963333291759e-01,        5.2348362233996681e-01,        1.3733483042674806e+00
        2014Jul,        9.9690979655287593e-01,        5.7369038828635155e-01,        1.4111947728528804e+00
        2014Aug,        1.0681003583866111e+00,        6.4218364791506044e-01,        1.4827252653779599e+00
        2014Sep,        1.1021215576375420e+00,        6.8436757995825193e-01,        1.5209308950786493e+00
        2014Oct,        1.1465818492266027e+00,        7.2140394212937053e-01,        1.5791020867290513e+00
        2014Nov,        1.2442091164063660e+00,        8.1265474044682051e-01,        1.6817203962084406e+00
        2014Dec,        1.3231281532691048e+00,        8.8094651689630155e-01,        1.7762381920334036e+00
        2015Jan,        1.3932946104566628e+00,        9.4692844061681569e-01,        1.8610152767889332e+00
        2015Feb,        1.3670719716977393e+00,        9.3550345649967426e-01,        1.8162972349174424e+00
        2015Mar,        1.3094899835488338e+00,        8.9858526621944890e-01,        1.7432903582246695e+00
        2015Apr,        1.2869393419597437e+00,        8.8728403310847170e-01,        1.7156652665868464e+00
        2015May,        1.2840617772045573e+00,        8.8058369637809975e-01,        1.6996167849881729e+00
        2015Jun,        1.2504317984150897e+00,        8.5907279398413294e-01,        1.6672485924484519e+00
        2015Jul,        1.2313501685388391e+00,        8.3966201369690019e-01,        1.6329194390761081e+00
        2015Aug,        1.2223491551715309e+00,        8.2535654101656064e-01,        1.6341475181624361e+00
        2015Sep,        1.2033987600297471e+00,        7.9841444554669749e-01,        1.6106399272290446e+00
        2015Oct,        1.1776207255126852e+00,        7.6835919355801252e-01,        1.5703072796411846e+00
        2015Nov,        1.1430367730926303e+00,        7.3563461065248248e-01,        1.5330832150655382e+00
        2015Dec,        1.0993749627192202e+00,        6.9564039716715698e-01,        1.4962025354146249e+00
        2016Jan,        1.0718855189336951e+00,        6.5501086716744084e-01,        1.4645625035649346e+00
        2016Feb,        1.0410825481925776e+00,        6.2943871057857059e-01,        1.4408981918077188e+00
        2016Mar,        1.0054514569792452e+00,        5.8710265404713624e-01,        1.4047422491110089e+00
        2016Apr,        9.4712520556710056e-01,        5.2517840083780243e-01,        1.3579849554824079e+00
        2016May,        1.0127577020317131e+00,        6.0673330886532995e-01,        1.4178650429841042e+00
        2016Jun,        1.0476770960190447e+00,        6.4816290275074095e-01,        1.4482860961692872e+00
        2016Jul,        1.0759904687921384e+00,        6.7741603632936176e-01,        1.4652137852410334e+00
        2016Aug,        1.1135331385982861e+00,        7.1524462352164164e-01,        1.5155588966091216e+00
        2016Sep,        1.1575055890568091e+00,        7.6206263266217888e-01,        1.5345313868262949e+00
        2016Oct,        1.1894766334123645e+00,        8.0236571433778181e-01,        1.5718577260268107e+00
        2016Nov,        1.2335344374154558e+00,        8.4279799124851706e-01,        1.6208618855509371e+00
        2016Dec,        1.2649081911534044e+00,        8.7259826407372088e-01,        1.6692227114065119e+00
        2017Jan,        1.2838370540350701e+00,        9.0803680426991562e-01,        1.6784125533629464e+00
        2017Feb,        1.3189663538725065e+00,        9.2949170851187324e-01,        1.7057801494146645e+00
        2017Mar,        1.3488285534232030e+00,        9.6006712991961507e-01,        1.7416501607051202e+00
        2017Apr,        1.3692222565673595e+00,        9.7385152282296872e-01,        1.7708159953294711e+00
        2017May,        1.3016636257375396e+00,        8.8456058704186091e-01,        1.7072375480139499e+00
        2017Jun,        1.2926501128117915e+00,        8.7541931699426367e-01,        1.7112569759241012e+00
        2017Jul,        1.2961030655135184e+00,        8.7646214714796855e-01,        1.7072633529328982e+00
        2017Aug,        1.2934975825372972e+00,        8.7650698286114448e-01,        1.7036818942870440e+00
        2017Sep,        1.2711535348651675e+00,        8.4571826109905146e-01,        1.6905641816562493e+00
        2017Oct,        1.2559228126252726e+00,        8.2038591036220510e-01,        1.6688360116462206e+00
        2017Nov,        1.3227169835112815e+00,        8.9138902209715809e-01,        1.7422786519641988e+00
        2017Dec,        1.3396518039989229e+00,        9.1511093895499229e-01,        1.7576031248161996e+00
        2018Jan,        1.3744801753973908e+00,        9.4967255271424733e-01,        1.8000332033527116e+00
        2018Feb,        1.3868856255531044e+00,        9.4625193540569796e-01,        1.8287820599455920e+00
        2018Mar,        1.3970744259586423e+00,        9.6205358705756083e-01,        1.8285482480747746e+00
        2018Apr,        1.3727143723713144e+00,        9.5678619615736693e-01,        1.7966987988276628e+00
        2018May,        1.3939535209495615e+00,        9.6766981434387134e-01,        1.8383372921559982e+00
        2018Jun,        1.3530927069156011e+00,        9.2379523975884581e-01,        1.7892981325511386e+00
        2018Jul,        1.3441620086352948e+00,        9.2295669513487155e-01,        1.7757802489704204e+00
        2018Aug,        1.3174378543804381e+00,        8.9154123631570315e-01,        1.7514937100273471e+00
        2018Sep,        1.3090537568366785e+00,        8.6553220639612505e-01,        1.7451929388836902e+00
        2018Oct,        1.3049840581958021e+00,        8.7730775686850393e-01,        1.7435363674045448e+00
        2018Nov,        1.2699118219504439e+00,        8.2067944599689824e-01,        1.7074323163356482e+00
        2018Dec,        1.2640943263576292e+00,        8.0848123260238935e-01,        1.7059896079717181e+00
        2019Jan,        1.3143682433308970e+00,        8.6539586815996472e-01,        1.7652945098705999e+00
        2019Feb,        1.3586986769440237e+00,        9.0963728594186222e-01,        1.8121450459273234e+00
        2019Mar,        1.4298982323375595e+00,        9.6757842745815026e-01,        1.9120273052739165e+00
        2019Apr,        1.4761299029469324e+00,        1.0135331128287959e+00,        1.9645907308737947e+00
        2019May,        1.4410113294837137e+00,        9.8726350671817897e-01,        1.9242002369036300e+00
        2019Jun,        1.4356903728395336e+00,        9.7601325552508200e-01,        1.9165454930091528e+00
        2019Jul,        1.4306615527262185e+00,        9.6749278085028756e-01,        1.9171483464058667e+00
        2019Aug,        1.4168638634158999e+00,        9.3439417055433349e-01,        1.9146600928188562e+00
        2019Sep,        1.3770716319254372e+00,        8.7880275558827492e-01,        1.8766423328060995e+00
        2019Oct,        1.3337423101256318e+00,        8.3580236410313091e-01,        1.8326911287202989e+00
        2019Nov,        1.2929200170060431e+00,        7.6955901432701523e-01,        1.8055463862920575e+00
        2019Dec,        1.2563974470435599e+00,        7.2496601275559325e-01,        1.7832195037599305e+00
        2020Jan,        1.2139213403501681e+00,        6.5325709190435077e-01,        1.7693273049615996e+00
        2020Feb,        1.1891545779026194e+00,        5.9652699568118805e-01,        1.7609232289487409e+00
