date,mcpi_monthly_chg,mcpi_ann_monthly_chg
10/1/1994,.0018317,2.200000047683716
11/1/1994,.0035884001,4.400000095367432
12/1/1994,.0010078,1.200000047683716
1/1/1995,.0034233001,4.199999809265137
2/1/1995,.0027397,3.299999952316284
3/1/1995,.0026805999,3.299999952316284
4/1/1995,.0029988,3.700000047683716
5/1/1995,.0029189,3.599999904632568
6/1/1995,.001733,2.099999904632568
7/1/1995,.0024927999,3
8/1/1995,.0024194999,2.900000095367432
9/1/1995,.0026795,3.299999952316284
10/1/1995,.0026501999,3.200000047683716
11/1/1995,.0021976,2.700000047683716
12/1/1995,.0021247,2.599999904632568
1/1/1996,.0030932999,3.799999952316284
2/1/1996,.0021567,2.599999904632568
3/1/1996,.0025559,3.099999904632568
4/1/1996,.0025742999,3.099999904632568
5/1/1996,.0024158,2.900000095367432
6/1/1996,.0020689999,2.5
7/1/1996,.0026254,3.200000047683716
8/1/1996,.0019143,2.299999952316284
9/1/1996,.0025718,3.099999904632568
10/1/1996,.0023705,2.900000095367432
11/1/1996,.0028681001,3.5
12/1/1996,.0018153,2.200000047683716
1/1/1997,.0024875,3
2/1/1997,.0019318,2.299999952316284
3/1/1997,.0024283,3
4/1/1997,.0024563,3
5/1/1997,.0021703001,2.599999904632568
6/1/1997,.0020586001,2.5
7/1/1997,.001673,2
8/1/1997,.0019095,2.299999952316284
9/1/1997,.0020858999,2.5
10/1/1997,.0020448,2.5
11/1/1997,.0022291001,2.700000047683716
12/1/1997,.0025220001,3.099999904632568
1/1/1998,.0019960999,2.400000095367432
2/1/1998,.0023612999,2.900000095367432
3/1/1998,.0020134,2.400000095367432
4/1/1998,.0018762,2.299999952316284
5/1/1998,.0024969,3
6/1/1998,.0025667001,3.099999904632568
7/1/1998,.0026403,3.200000047683716
8/1/1998,.0027673,3.400000095367432
9/1/1998,.002601,3.200000047683716
10/1/1998,.0027391999,3.299999952316284
11/1/1998,.0018094,2.200000047683716
12/1/1998,.0016464,2
1/1/1999,.0012819,1.5
2/1/1999,.0014389,1.700000047683716
3/1/1999,.0015227,1.799999952316284
4/1/1999,.0022030999,2.700000047683716
5/1/1999,.0014182,1.700000047683716
6/1/1999,.00098040001,1.200000047683716
7/1/1999,.0019731999,2.400000095367432
